,AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
32,2011,5148,El Carmen de Viboral,5,Antioquia,3758,Antioquia (ETC),11115.0,84.17,84.1,73.7,80.2,77.6,49.8,89.6,82.2,91.1,98.6,72.8,26.2,70.27,2.12,2.77,2.35,2.02,1.36,94.44,96.8,94.72,93.24,95.4,3.44,0.44,2.93,4.74,3.25,3.31,0.15,2.74,4.77,3.48
33,2011,5150,Carolina,5,Antioquia,3758,Antioquia (ETC),762.0,125.72,125.7,55.4,132.6,90.7,51.5,143.0,90.8,173.1,141.1,96.2,21.5,83.33,5.63,6.78,1.4,10.24,2.99625,94.18,93.22,98.6,89.76,83.02,0.19,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0
34,2011,5154,Caucasia,5,Antioquia,3758,Antioquia (ETC),27194.0,77.64,77.6,63.6,82.5,54.5,29.3,92.5,78.6,113.5,84.0,65.6,27.21,67.61,3.77,3.21,3.07,4.19,6.61,93.35,96.79,95.0,92.71,83.99,2.88,0.0,1.93,3.1,9.4,0.51,0.0,0.46,0.72,0.54
35,2011,5172,Chigorodo,5,Antioquia,3758,Antioquia (ETC),19388.0,93.12,93.1,78.8,97.4,64.2,29.0,107.4,95.7,128.5,102.7,69.2,31.93,59.18,4.0,4.75,3.66,4.65,2.93,89.38,95.02,90.01,87.46,87.39,6.62,0.23,6.33,7.88,9.69,1.53,0.0,1.69,2.01,0.43
36,2011,5190,Cisneros,5,Antioquia,3758,Antioquia (ETC),2025.0,102.52,102.5,61.8,99.4,93.0,48.3,118.0,83.0,124.1,129.9,97.2,29.27,84.62,1.76,0.73,0.31,3.59,2.07,97.97,99.27,99.69,96.41,95.86,0.27,0.0,0.0,0.0,2.07,2.94,0.73,3.16,3.67,1.33
37,2011,5197,Cocorna,5,Antioquia,3758,Antioquia (ETC),3356.0,100.51,100.5,78.6,102.0,81.5,35.3,109.2,92.0,128.6,115.0,63.0,28.65,73.61,4.98,5.81,5.88,4.44,1.98,87.94,93.36,85.86,88.51,92.37,7.08,0.83,8.27,7.05,5.65,1.63,0.0,1.92,1.82,0.4
38,2011,5206,Concepcion,5,Antioquia,3758,Antioquia (ETC),752.0,111.84,111.8,61.0,107.5,95.3,44.8,128.5,88.1,141.5,142.2,93.7,25.58,90.91,5.18,7.69,5.29,4.4,5.97,94.82,92.31,94.71,95.6,94.03,0.0,0.0,0.0,0.0,0.0,2.39,0.0,1.23,8.04,1.69
39,2011,5209,Concordia,5,Antioquia,3758,Antioquia (ETC),5274.0,81.55,81.6,56.6,85.1,58.4,18.4,87.9,66.2,111.2,86.9,39.7,24.0,95.35,6.19,8.08,8.29,2.79,2.0,92.15,91.92,89.54,96.77,93.33,1.67,0.0,2.17,0.44,4.67,1.41,0.0,1.97,0.58,0.0
41,2011,5234,Dabeiba,5,Antioquia,3758,Antioquia (ETC),6604.0,84.63,84.6,71.1,89.6,42.5,17.8,98.1,96.6,133.5,77.8,48.5,18.76,61.63,6.28,4.08,7.06,6.24,1.24,93.72,95.92,92.94,93.76,98.76,0.0,0.0,0.0,0.0,0.0,1.51,0.0,1.97,1.09,0.37
42,2011,5237,Don Matias,5,Antioquia,3758,Antioquia (ETC),4978.0,86.1,86.1,71.1,86.0,76.5,36.0,92.8,82.0,101.1,101.3,61.9,31.4,100.0,1.12,2.27,0.58,1.96,4.598888888888889,98.54,97.73,99.42,98.04,96.97,0.34,0.0,0.0,0.0,3.03,0.2,0.0,0.37,0.07,0.0
