,AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
6638,2016,76246,El Cairo,76,Valle del Cauca,3817,Valle del Cauca (ETC),2080.0,54.4,54.38,35.33,50.51,45.16,26.57,60.29,51.63,64.51,66.86,40.6,21.97,20.0,4.92,4.21,5.29,5.21,2.94,91.39,95.79,92.06,90.05,89.71,3.69,0.0,2.65,4.74,7.35,0.08,0.0,0.0,0.24,0.0
6639,2016,76248,El Cerrito,76,Valle del Cauca,3817,Valle del Cauca (ETC),10132.0,99.2,99.15,61.64,96.82,83.94,58.16,109.62,86.32,114.51,116.39,95.96,24.73,66.67,5.59,5.44,3.98,7.5,5.89,89.34,94.56,92.79,84.76,87.62,5.07,0.0,3.23,7.75,6.48,1.02,0.0,0.81,1.58,0.69
6640,2016,76250,El Dovio,76,Valle del Cauca,3817,Valle del Cauca (ETC),1740.0,93.2,93.16,59.21,94.21,70.26,32.96,106.21,89.47,123.82,106.78,65.93,25.97,53.85,3.48,5.15,1.79,6.48,1.53,92.21,94.12,94.06,87.43,96.18,4.31,0.74,4.14,6.09,2.29,1.44,0.0,2.02,0.98,0.76
6641,2016,76275,Florida,76,Valle del Cauca,3817,Valle del Cauca (ETC),11665.0,98.0,97.99,52.69,95.43,81.13,45.44,113.51,81.77,129.63,113.85,88.83,25.19,34.78,4.11,4.04,2.77,6.33,3.01,90.48,95.48,92.75,85.04,94.75,5.4,0.48,4.48,8.63,2.24,3.34,2.42,5.01,2.27,0.26
6642,2016,76306,Ginebra,76,Valle del Cauca,3817,Valle del Cauca (ETC),3420.0,113.2,113.19,60.6,95.22,113.14,71.71,131.08,87.42,111.56,162.56,142.53,29.75,55.56,3.94,3.96,3.11,4.93,3.03,87.45,94.55,90.29,84.19,87.5,8.61,1.49,6.6,10.88,9.47,2.6,2.48,2.87,3.07,0.57
6643,2016,76318,Guacari,76,Valle del Cauca,3817,Valle del Cauca (ETC),6206.0,85.7,85.71,54.27,86.41,69.98,49.34,102.85,83.68,108.83,96.47,110.15,25.73,65.52,4.78,2.17,2.55,7.77,5.53,91.51,97.55,95.67,84.84,92.34,3.71,0.27,1.79,7.39,2.13,0.39,0.82,0.31,0.55,0.0
6644,2016,76364,Jamundi,76,Valle del Cauca,4815,Jamundi,23968.0,88.0,88.01,47.15,81.86,76.18,44.15,119.45,71.67,118.45,131.02,122.64,25.74,71.01,3.97,4.33,3.06,5.42,2.76,85.38,95.2,89.04,78.2,88.32,10.65,0.47,7.9,16.38,8.92,0.49,0.28,0.48,0.66,0.05
6645,2016,76377,La Cumbre,76,Valle del Cauca,3817,Valle del Cauca (ETC),2009.0,107.9,107.91,60.47,95.29,101.8,51.7,125.63,98.84,116.96,151.73,108.98,18.46,35.71,3.75,8.11,2.61,4.82,1.79,93.53,90.54,94.03,92.26,97.49,2.72,1.35,3.37,2.91,0.72,1.61,0.0,1.52,2.35,0.36
6646,2016,76400,La Union,76,Valle del Cauca,3817,Valle del Cauca (ETC),7139.0,77.1,77.1,50.08,73.73,70.08,40.51,85.45,64.91,87.77,94.81,71.2,27.9,56.0,6.32,7.12,5.61,7.67,4.51,86.96,92.88,89.42,81.87,89.47,6.72,0.0,4.97,10.46,6.02,0.44,0.0,0.24,0.86,0.15
6647,2016,76403,La Victoria,76,Valle del Cauca,3817,Valle del Cauca (ETC),2258.0,90.8,90.83,49.74,79.45,91.42,56.2,109.92,70.9,118.54,118.9,90.24,20.65,61.11,2.75,4.92,2.15,3.71,0.96,89.09,95.08,93.33,83.97,89.1,8.16,0.0,4.53,12.32,9.94,0.05,0.0,0.12,0.0,0.0
6648,2016,76497,Obando,76,Valle del Cauca,3817,Valle del Cauca (ETC),3171.0,58.4,58.44,39.21,55.61,47.36,29.65,67.08,58.63,69.69,73.2,52.52,17.76,42.86,6.59,9.82,6.13,6.61,6.06,86.47,90.18,89.81,81.72,83.98,6.95,0.0,4.05,11.67,9.96,0.05,0.0,0.0,0.0,0.43
6649,2016,76520,Palmira,76,Valle del Cauca,3822,Palmira,51829.0,97.1,96.99,61.69,94.4,82.45,47.44,113.6,88.35,121.21,120.63,94.5,23.94,98.26,5.24,5.27,4.36,6.96,3.46,86.74,94.44,89.84,80.27,89.72,8.02,0.29,5.79,12.77,6.82,2.52,1.56,2.66,3.11,0.7
6650,2016,76563,Pradera,76,Valle del Cauca,3817,Valle del Cauca (ETC),11997.0,75.2,75.02,41.86,70.46,63.69,35.69,90.33,65.8,96.11,96.97,75.28,24.77,71.05,4.62,7.17,3.8,5.35,4.14,89.23,92.83,90.4,86.52,90.92,6.15,0.0,5.81,8.13,4.94,1.27,3.32,1.78,0.65,0.0
6651,2016,76606,Restrepo,76,Valle del Cauca,3817,Valle del Cauca (ETC),3114.0,101.9,101.89,58.15,95.94,90.2,50.66,116.25,91.85,123.22,130.89,83.55,28.14,36.67,4.26,2.42,4.25,5.09,3.01,90.45,96.37,90.81,87.56,93.73,5.29,1.21,4.95,7.34,3.26,1.33,0.4,1.71,1.47,0.0
6652,2016,76616,Riofrio,76,Valle del Cauca,3817,Valle del Cauca (ETC),2644.0,104.5,104.54,70.64,94.98,94.7,37.19,125.64,88.09,126.96,147.93,96.06,23.71,39.47,5.86,6.28,4.85,7.63,3.45,88.81,93.72,90.76,85.22,89.66,5.33,0.0,4.39,7.16,6.9,1.86,1.45,1.59,2.64,0.38
6653,2016,76622,Roldanillo,76,Valle del Cauca,3817,Valle del Cauca (ETC),5899.0,102.3,102.25,54.51,92.12,100.73,69.5,118.1,92.75,114.83,132.78,110.8,25.04,45.45,5.53,6.08,4.85,6.76,3.94,89.71,93.92,91.98,85.49,92.35,4.76,0.0,3.17,7.75,3.7,1.54,7.3,0.95,1.32,0.84
6654,2016,86755,San Francisco,86,Putumayo,3826,Putumayo (ETC),1661.0,53.3,53.28,27.54,54.55,43.76,29.2,61.59,51.45,62.64,62.21,62.8,19.77,8.33,4.88,2.82,4.99,5.98,2.73,91.44,97.18,93.2,85.71,96.36,3.68,0.0,1.81,8.31,0.91,0.0,0.0,0.0,0.0,0.0
6655,2016,76670,San Pedro,76,Valle del Cauca,3817,Valle del Cauca (ETC),3272.0,83.6,83.56,49.64,85.6,68.73,30.83,94.56,73.36,103.9,106.01,63.17,23.13,46.15,6.03,5.92,4.46,8.71,3.61,87.81,92.76,89.46,82.68,95.98,6.15,1.32,6.08,8.61,0.4,0.36,0.0,0.69,0.11,0.0
6656,2016,76736,Sevilla,76,Valle del Cauca,3817,Valle del Cauca (ETC),8569.0,73.1,72.98,39.42,72.47,64.1,31.81,85.56,59.61,89.57,92.24,75.02,20.78,36.62,3.89,5.68,3.05,5.11,2.54,90.36,94.06,91.31,87.02,94.93,5.75,0.26,5.64,7.87,2.54,1.1,1.03,0.55,2.12,0.15
6657,2016,76823,Toro,76,Valle del Cauca,3817,Valle del Cauca (ETC),3444.0,75.1,75.15,39.38,72.18,67.63,38.15,89.46,64.73,99.1,94.15,67.91,24.08,58.62,9.64,6.35,8.34,12.54,7.89,88.3,93.65,90.55,84.25,88.49,2.06,0.0,1.11,3.21,3.62,0.37,0.0,0.4,0.52,0.0
6658,2016,76828,Trujillo,76,Valle del Cauca,3817,Valle del Cauca (ETC),3689.0,85.1,85.09,47.5,77.58,76.28,41.03,108.05,76.25,109.5,127.06,80.64,23.54,66.67,6.03,7.38,5.35,6.86,5.22,89.94,90.16,90.5,88.59,91.88,4.03,2.46,4.15,4.55,2.9,0.09,0.41,0.0,0.17,0.0
6659,2016,76834,Tulua,76,Valle del Cauca,3823,Tulua,38807.0,91.3,91.14,55.92,87.07,83.27,51.63,103.62,74.71,103.05,116.67,93.68,26.57,56.64,5.11,4.4,3.78,7.08,3.98,90.57,95.29,92.34,86.92,93.4,4.32,0.31,3.88,6.0,2.62,1.55,0.63,1.31,2.17,0.92
6660,2016,76845,Ulloa,76,Valle del Cauca,3817,Valle del Cauca (ETC),1016.0,85.2,85.24,40.45,85.51,71.78,27.22,96.85,67.42,109.74,111.66,54.44,20.71,28.57,9.23,5.0,9.52,9.29,10.53,83.85,95.0,84.42,81.73,80.26,6.92,0.0,6.06,8.97,9.21,0.11,0.0,0.22,0.0,0.0
6661,2016,76863,Versalles,76,Valle del Cauca,3817,Valle del Cauca (ETC),1328.0,83.8,83.81,62.93,73.98,77.01,45.28,95.48,88.79,89.56,111.95,81.13,23.69,40.0,7.08,2.91,6.13,8.7,8.51,88.8,97.09,90.12,84.67,90.78,4.13,0.0,3.75,6.64,0.71,0.0,0.0,0.0,0.0,0.0
6662,2016,76869,Vijes,76,Valle del Cauca,3817,Valle del Cauca (ETC),1932.0,94.0,94.0,55.95,83.8,84.03,52.4,110.87,84.52,104.11,123.1,118.15,27.43,15.0,4.7,3.52,2.99,6.82,4.85,90.09,91.55,91.02,89.22,88.55,5.21,4.93,5.99,3.96,6.61,0.05,0.0,0.0,0.14,0.0
6663,2016,76890,Yotoco,76,Valle del Cauca,3817,Valle del Cauca (ETC),2866.0,91.0,91.0,65.15,93.12,77.31,34.52,104.95,89.21,115.45,112.83,73.21,28.32,75.0,3.58,1.56,3.31,4.85,2.01,90.96,98.44,92.32,86.85,93.31,5.46,0.0,4.37,8.3,4.68,1.28,1.04,1.7,1.19,0.0
6664,2016,76892,Yumbo,76,Valle del Cauca,4832,Yumbo,22405.0,91.4,90.7,56.17,86.65,79.47,44.62,104.42,83.4,104.66,119.14,86.01,24.5,100.0,4.1,5.29,3.83,4.79,2.27,89.73,93.44,92.04,84.85,94.17,6.17,1.27,4.13,10.36,3.57,1.26,0.88,0.88,2.02,0.54
6665,2016,76895,Zarzal,76,Valle del Cauca,3817,Valle del Cauca (ETC),8526.0,84.6,84.6,50.14,80.87,74.76,48.95,100.26,71.67,101.01,108.98,95.52,27.27,100.0,5.41,4.98,4.71,6.88,3.97,87.87,94.12,91.34,81.69,90.02,6.73,0.9,3.94,11.43,6.01,0.78,0.23,0.94,0.85,0.32
6666,2016,81001,Arauca,81,Arauca,3824,Arauca (ETC),26138.0,66.8,66.71,42.72,64.03,50.24,31.18,78.39,75.83,83.41,74.51,74.17,24.22,9.68,3.99,4.9,3.31,4.78,4.07,96.01,95.1,96.69,95.22,95.93,0.0,0.0,0.0,0.0,0.0,4.48,1.89,3.5,7.37,2.14
6667,2016,81065,Arauquita,81,Arauca,3824,Arauca (ETC),11849.0,68.6,68.59,37.68,70.25,48.04,25.49,78.07,77.13,93.36,72.26,49.81,13.0,22.77,2.87,3.11,2.25,3.91,2.96,97.13,96.89,97.75,96.09,97.04,0.0,0.0,0.0,0.0,0.0,3.04,1.94,2.82,3.87,2.83
6668,2016,81220,Cravo Norte,81,Arauca,3824,Arauca (ETC),939.0,77.6,77.64,26.83,83.46,58.39,27.7,86.47,81.71,108.02,78.39,47.97,22.68,7.69,8.37,7.46,4.41,13.99,14.08,91.63,92.54,95.59,86.01,85.92,0.0,0.0,0.0,0.0,0.0,5.91,2.99,4.41,11.11,0.0
6669,2016,81300,Fortul,81,Arauca,3824,Arauca (ETC),7338.0,62.2,62.21,40.16,64.13,44.52,25.0,68.48,78.27,83.39,59.03,42.53,30.07,15.79,2.88,2.91,2.43,3.24,4.35,97.1,97.09,97.57,96.76,95.42,0.02,0.0,0.0,0.0,0.23,2.63,0.83,2.11,4.19,2.75
6670,2016,81591,Puerto Rondon,81,Arauca,3824,Arauca (ETC),1067.0,73.1,73.1,45.74,79.5,52.66,27.23,82.94,85.11,110.36,69.82,41.36,19.03,24.18,7.88,2.5,7.22,11.02,7.59,92.12,97.5,92.78,88.98,92.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6671,2016,81736,Saravena,81,Arauca,3824,Arauca (ETC),13367.0,84.1,84.07,55.07,83.63,68.45,32.09,97.71,96.54,110.97,98.51,63.65,19.93,7.32,3.1,4.79,2.33,3.92,2.78,96.9,95.21,97.67,96.08,97.22,0.0,0.0,0.0,0.0,0.0,3.59,0.35,1.4,8.19,3.54
6672,2016,81794,Tame,81,Arauca,3824,Arauca (ETC),14487.0,87.9,87.84,52.52,87.31,71.47,33.9,101.23,83.73,111.99,107.6,69.01,22.14,12.61,4.25,5.12,3.53,5.47,3.04,95.75,94.88,96.47,94.53,96.96,0.0,0.0,0.0,0.0,0.0,2.65,0.59,2.14,4.32,1.18
6673,2016,85001,Yopal,85,Casanare,4841,Yopal,33606.0,105.5,105.41,77.87,104.41,87.1,52.91,117.76,105.2,123.18,123.87,97.88,25.46,69.57,4.55,4.68,4.18,5.93,1.82,88.02,94.9,91.43,80.42,93.13,7.42,0.41,4.4,13.65,5.05,7.15,3.49,6.89,10.08,1.51
6674,2016,85010,Aguazul,85,Casanare,3825,Casanare (ETC),9511.0,82.7,82.65,50.0,81.12,71.68,41.37,93.09,76.99,96.59,101.44,76.25,24.29,33.33,3.7,3.68,3.06,4.72,3.21,90.54,96.32,93.06,86.14,90.59,5.75,0.0,3.88,9.14,6.2,3.43,0.58,2.51,5.66,2.07
6675,2016,85015,Chameza,85,Casanare,3825,Casanare (ETC),601.0,60.9,60.9,54.0,60.98,53.73,33.65,66.39,62.0,66.67,73.13,54.81,21.71,20.0,2.66,6.45,0.0,4.41,4.44,93.88,93.55,97.56,88.97,95.56,3.46,0.0,2.44,6.62,0.0,3.19,0.0,2.44,5.88,0.0
6676,2016,85125,Hato Corozal,85,Casanare,3825,Casanare (ETC),3388.0,89.1,89.08,51.19,85.32,64.69,34.51,101.27,85.42,112.95,105.03,70.71,19.29,35.0,5.96,5.16,3.92,8.13,8.86,90.55,94.44,93.87,86.19,86.7,3.48,0.4,2.21,5.68,4.43,3.48,0.79,3.19,4.72,2.77
6678,2016,85139,Mani,85,Casanare,3825,Casanare (ETC),2595.0,125.5,125.47,89.91,122.05,106.03,53.13,138.34,122.48,147.05,150.35,100.46,24.3,51.61,4.49,5.12,3.2,6.82,2.54,90.02,94.88,93.73,82.78,92.68,5.49,0.0,3.07,10.4,4.79,4.73,1.57,3.2,8.97,0.56
6679,2016,85162,Monterrey,85,Casanare,3825,Casanare (ETC),3549.0,95.1,95.04,72.91,90.61,86.76,52.28,106.82,91.97,105.33,116.21,99.32,27.48,46.15,3.65,2.35,3.55,4.56,2.21,93.91,97.65,95.93,92.4,89.16,2.44,0.0,0.53,3.04,8.63,0.37,0.0,0.39,0.0,1.55
6680,2016,85225,Nunchia,85,Casanare,3825,Casanare (ETC),2266.0,76.3,76.35,53.17,76.76,60.0,29.01,82.97,72.68,96.58,81.22,56.08,19.77,28.57,3.37,2.01,3.54,3.54,2.99,92.33,97.32,92.37,90.8,92.81,4.3,0.67,4.08,5.66,4.19,1.49,0.0,1.61,2.12,0.0
6681,2016,85230,Orocue,85,Casanare,3825,Casanare (ETC),2270.0,114.7,114.71,55.0,114.78,86.28,33.43,127.44,116.0,148.52,128.36,71.01,25.84,16.67,4.48,7.76,2.96,6.65,2.0,90.72,91.81,92.76,86.36,94.0,4.8,0.43,4.27,6.99,4.0,3.94,0.43,4.2,4.85,2.0
6682,2016,85250,Paz de Ariporo,85,Casanare,3825,Casanare (ETC),6825.0,121.0,120.97,82.59,121.64,87.45,51.53,136.19,117.93,157.99,130.47,99.44,22.63,26.67,2.6,1.99,2.43,3.08,2.46,95.31,98.01,96.56,92.87,94.09,2.09,0.0,1.01,4.05,3.45,0.88,0.0,0.43,1.66,1.6
6683,2016,85263,Pore,85,Casanare,3825,Casanare (ETC),1919.0,124.7,124.7,81.66,125.74,100.32,43.03,135.8,113.02,153.47,150.08,76.16,27.16,52.17,3.97,4.71,2.98,5.72,2.3,90.45,95.29,92.18,85.28,95.85,5.59,0.0,4.84,9.0,1.84,1.78,0.0,2.02,2.31,0.0
6684,2016,85279,Recetor,85,Casanare,3825,Casanare (ETC),1106.0,16.8,16.82,5.1,16.09,11.63,9.94,20.16,16.33,21.89,18.84,20.44,9.25,5.13,2.53,0.0,4.9,0.0,0.0,93.94,100.0,90.2,96.36,100.0,3.54,0.0,4.9,3.64,0.0,5.56,0.0,6.86,5.45,4.0
6685,2016,85300,Sabanalarga,85,Casanare,3825,Casanare (ETC),690.0,107.2,107.25,65.0,95.17,94.3,73.21,116.52,81.67,108.97,134.65,117.86,22.87,63.64,2.36,0.0,2.53,2.61,2.27,92.79,100.0,94.94,88.27,95.45,4.85,0.0,2.53,9.12,2.27,4.35,0.0,4.11,6.19,2.27
6686,2016,85315,Sacama,85,Casanare,3825,Casanare (ETC),517.0,51.6,51.64,22.73,47.73,51.46,30.49,60.35,45.45,57.73,73.68,47.56,19.58,50.0,1.06,0.0,1.57,1.03,0.0,98.94,100.0,98.43,98.97,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6687,2016,85325,San Luis de Palenque,85,Casanare,3825,Casanare (ETC),1877.0,79.0,79.01,51.25,85.11,60.0,23.26,85.46,66.88,102.88,83.97,50.69,29.94,25.81,2.95,4.67,3.04,3.14,0.0,89.76,94.39,91.0,85.56,94.02,7.28,0.93,5.96,11.3,5.98,5.77,0.0,4.14,9.21,8.55
6688,2016,85400,Tamara,85,Casanare,3825,Casanare (ETC),1890.0,83.2,83.23,62.07,88.22,53.08,25.37,88.47,79.31,112.62,75.32,49.63,20.08,25.0,3.68,2.17,3.09,6.25,0.0,91.31,97.83,92.0,86.06,98.84,5.01,0.0,4.91,7.69,1.16,5.39,2.9,6.62,4.33,1.16
6689,2016,85410,Tauramena,85,Casanare,3825,Casanare (ETC),5257.0,101.3,101.01,51.4,89.25,98.34,54.58,115.54,83.23,107.39,140.75,104.64,25.81,24.0,4.6,5.19,4.21,5.6,2.46,89.64,94.81,91.22,87.11,89.54,5.76,0.0,4.57,7.29,8.0,1.17,0.29,1.45,1.3,0.31
6690,2016,85430,Trinidad,85,Casanare,3825,Casanare (ETC),3970.0,81.2,81.13,44.02,86.56,57.65,31.29,88.84,67.35,106.81,87.86,55.98,22.2,35.48,7.69,2.38,5.38,12.04,9.29,86.19,97.62,89.18,78.39,88.24,6.12,0.0,5.44,9.57,2.48,0.18,0.0,0.12,0.38,0.0
6691,2016,85440,Villanueva,85,Casanare,3825,Casanare (ETC),5803.0,117.8,117.7,81.46,121.45,99.69,61.97,128.21,113.75,139.69,130.6,102.64,29.4,87.5,3.68,3.23,2.94,5.29,2.41,91.84,96.77,95.08,85.65,93.4,4.48,0.0,1.99,9.06,4.19,1.28,0.0,0.69,2.62,0.63
6692,2016,86001,Mocoa,86,Putumayo,3826,Putumayo (ETC),10340.0,104.9,104.85,46.6,99.31,91.15,51.54,122.5,84.89,120.97,138.49,111.31,27.37,26.42,5.46,5.37,3.99,7.42,4.94,86.45,94.48,91.04,79.2,87.7,8.09,0.15,4.97,13.38,7.36,4.06,3.83,3.73,5.1,2.1
6693,2016,86219,Colon,86,Putumayo,3826,Putumayo (ETC),1178.0,79.5,79.46,33.0,80.17,77.37,35.05,86.76,80.0,94.01,95.26,58.41,21.7,16.67,7.14,3.75,4.84,9.12,12.0,86.89,96.25,89.67,83.15,81.6,5.97,0.0,5.49,7.73,6.4,0.68,0.0,0.22,1.38,0.8
6694,2016,86320,Orito,86,Putumayo,3826,Putumayo (ETC),15553.0,57.5,57.51,21.83,56.41,48.5,25.49,65.75,50.34,70.29,70.53,53.0,28.05,15.04,11.89,9.97,13.94,10.96,7.26,82.78,89.42,82.92,80.4,85.21,5.33,0.61,3.14,8.63,7.53,1.01,1.23,1.19,0.96,0.27
6695,2016,86568,Puerto Asis,86,Putumayo,3826,Putumayo (ETC),15944.0,88.8,88.8,43.57,86.64,70.09,34.82,106.7,88.9,110.35,114.64,89.31,28.6,15.24,7.82,7.51,6.02,10.55,7.61,83.65,92.22,86.68,76.56,86.6,8.53,0.27,7.3,12.89,5.78,1.92,0.36,2.07,2.43,0.51
6696,2016,86569,Puerto Caicedo,86,Putumayo,3826,Putumayo (ETC),3712.0,61.3,61.29,31.65,63.44,49.22,24.88,68.59,72.47,77.4,69.37,43.78,30.0,17.19,7.97,12.66,5.45,10.76,6.81,86.51,87.34,91.61,77.85,88.94,5.52,0.0,2.94,11.39,4.26,4.58,1.75,1.85,9.87,3.4
6697,2016,86571,Puerto Guzman,86,Putumayo,3826,Putumayo (ETC),6679.0,75.6,75.57,37.07,77.98,56.87,16.04,84.71,80.52,104.76,85.81,34.85,27.2,4.12,7.61,8.14,6.25,10.25,4.46,87.34,91.65,90.94,80.23,87.58,5.05,0.21,2.8,9.52,7.96,2.55,0.86,2.94,2.76,0.32
6698,2016,86573,Leguizamo,86,Putumayo,3826,Putumayo (ETC),3973.0,139.9,139.92,67.78,140.91,101.78,42.42,156.51,137.39,195.32,145.85,86.28,27.49,12.9,10.62,10.18,9.34,13.4,8.71,86.8,89.38,88.21,82.97,89.96,2.59,0.44,2.46,3.63,1.34,1.64,1.55,1.66,1.98,0.22
6699,2016,86749,Sibundoy,86,Putumayo,3826,Putumayo (ETC),3114.0,103.8,103.76,51.52,92.86,103.58,67.32,117.73,89.39,105.59,136.62,125.13,23.36,33.33,3.44,3.98,2.94,4.71,1.31,92.85,96.02,95.78,88.11,96.08,3.71,0.0,1.28,7.18,2.61,3.09,2.65,1.96,4.79,1.87
6700,2016,86757,San Miguel,86,Putumayo,3826,Putumayo (ETC),7865.0,48.4,48.38,15.41,47.44,42.64,25.06,55.22,35.41,58.47,57.9,52.01,23.82,24.19,6.8,3.86,5.67,9.14,6.02,89.06,96.14,90.03,86.25,89.9,4.13,0.0,4.3,4.61,4.08,2.23,0.86,2.57,2.74,0.19
6701,2016,86760,Santiago,86,Putumayo,3826,Putumayo (ETC),2516.0,47.1,47.06,26.42,45.15,42.77,25.0,52.46,50.0,50.53,60.51,43.18,23.46,41.67,5.3,9.43,2.47,7.63,4.74,91.67,90.57,96.2,87.95,89.47,3.03,0.0,1.33,4.42,5.79,1.67,0.0,1.14,2.61,1.58
6702,2016,86865,Valle del Guamuez,86,Putumayo,3826,Putumayo (ETC),13523.0,53.0,52.97,24.57,49.74,48.84,27.11,60.9,44.37,58.25,71.88,53.89,26.3,25.88,6.11,6.88,5.51,7.7,3.05,86.31,92.92,88.21,82.0,89.39,7.58,0.21,6.28,10.31,7.56,3.12,1.88,2.8,4.29,1.37
6703,2016,86885,Villagarzon,86,Putumayo,3826,Putumayo (ETC),5383.0,103.2,103.18,42.32,96.55,91.38,41.5,117.89,102.63,122.92,133.58,82.9,28.29,19.4,5.75,7.08,3.99,7.04,8.3,86.83,92.92,90.84,81.04,84.5,7.42,0.0,5.18,11.93,7.2,4.24,0.46,3.37,6.79,1.85
6704,2016,88001,San Andres,88,Archipielago de San Andres Providencia y Santa Catalina,3827,Archipielago de San Andres Providencia y Santa Catalina (ETC),14190.0,66.6,66.62,47.15,68.49,59.43,37.65,72.18,62.96,78.37,75.02,56.1,26.21,84.21,2.16,0.89,2.51,2.21,1.39,97.83,99.11,97.49,97.79,98.5,0.01,0.0,0.0,0.0,0.11,2.46,0.0,2.02,3.71,2.14
6705,2016,88564,Providencia,88,Archipielago de San Andres Providencia y Santa Catalina,3827,Archipielago de San Andres Providencia y Santa Catalina (ETC),977.0,90.5,90.48,43.37,96.3,75.3,54.04,97.54,91.57,114.07,91.46,71.43,23.69,60.0,3.04,2.63,0.65,6.67,3.48,96.96,97.37,99.35,93.33,96.52,0.0,0.0,0.0,0.0,0.0,2.52,0.0,1.73,3.67,4.35
6706,2016,91001,Leticia,91,Amazonas,3828,Amazonas (ETC),11017.0,115.5,115.52,63.07,112.25,93.45,43.73,137.24,112.65,148.42,145.68,105.32,27.94,59.46,6.26,7.37,3.71,9.64,6.6,86.17,92.53,88.03,81.88,86.72,7.56,0.1,8.26,8.48,6.68,5.72,1.13,5.98,6.85,4.14
6707,2016,91263,El Encanto,91,Amazonas,3828,Amazonas (ETC),1505.0,25.9,25.91,13.99,23.67,20.77,7.63,32.16,30.77,33.99,33.19,25.85,4.25,22.22,5.1,4.55,4.59,5.88,6.06,94.9,95.45,95.41,94.12,93.94,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.92,0.74,0.0
6708,2016,91405,La Chorrera,91,Amazonas,3828,Amazonas (ETC),1187.0,54.5,54.51,22.43,48.94,33.07,9.2,62.43,62.62,72.45,62.27,32.76,5.78,5.0,1.62,0.0,0.0,3.73,5.26,98.38,100.0,100.0,96.27,94.74,0.0,0.0,0.0,0.0,0.0,6.61,0.0,9.57,4.98,1.75
6709,2016,91407,La Pedrera,91,Amazonas,3828,Amazonas (ETC),1648.0,49.0,48.97,28.47,56.09,19.15,4.7,56.25,63.89,82.58,35.46,22.22,10.5,20.0,1.02,1.09,1.21,0.0,2.86,95.82,95.65,96.21,94.38,97.14,3.16,3.26,2.59,5.62,0.0,14.69,0.0,11.72,30.9,20.0
6711,2016,91460,Miriti - Parana,91,Amazonas,3828,Amazonas (ETC),470.0,54.9,54.89,26.19,43.78,37.41,11.25,64.04,30.95,76.12,70.07,40.0,15.5,20.0,0.0,0.0,0.0,0.0,0.0,97.01,100.0,96.08,98.06,96.88,2.99,0.0,3.92,1.94,3.13,7.31,0.0,13.07,1.94,0.0
6714,2016,91540,Puerto Nariño,91,Amazonas,3828,Amazonas (ETC),2592.0,70.4,70.41,57.32,69.48,47.76,15.48,83.06,91.87,95.65,79.39,49.24,23.47,20.0,4.42,1.77,0.79,11.44,4.24,93.55,98.23,97.43,85.95,91.52,2.03,0.0,1.78,2.61,4.24,9.58,3.1,13.14,8.17,1.82
6715,2016,91669,Puerto Santander,91,Amazonas,3828,Amazonas (ETC),922.0,42.0,41.97,22.22,47.58,17.31,4.35,45.44,50.62,64.01,32.05,11.3,3.68,10.0,0.24,0.0,0.0,1.0,0.0,90.21,97.56,95.09,75.0,84.62,9.55,2.44,4.91,24.0,15.38,5.49,0.0,8.3,1.0,0.0
6716,2016,91798,Tarapaca,91,Amazonas,3828,Amazonas (ETC),1322.0,57.6,57.64,20.0,61.73,33.49,8.96,69.97,57.6,88.54,66.27,34.91,17.91,8.33,0.58,4.17,0.2,0.0,2.04,99.42,95.83,99.8,100.0,97.96,0.0,0.0,0.0,0.0,0.0,7.88,1.39,10.56,3.75,10.2
6717,2016,94001,Inirida,94,Guainia,3829,Guainia (ETC),5420.0,114.2,114.19,83.68,109.09,64.61,17.41,141.53,163.6,161.2,148.31,70.89,26.3,21.62,7.77,10.86,6.61,9.15,5.11,75.27,81.54,78.73,65.8,79.55,16.96,7.59,14.66,25.05,15.34,2.45,5.5,2.16,2.13,0.57
